"id","loannumber","borrowername","borroweraddress","borrowercity","borrowerstate","borrowerzip","loanstatusdate","loanstatus","initialapprovalamount","currentapprovalamount","currentapprovalamount-2","servicinglendername","hubzoneindicator","businessagedescription","jobsreported","naicscode","lmiindicator","businesstype","forgivenessamount","forgivenessdate"
24053,6462167205,"C & C MEATS CORP","355 Food Center Drive, F-4","Bronx","NY","10474","09/25/2021","Paid in Full",111754,111754,111754,"Signature Bank","N","Existing or more than 2 years old",12,424470,"Y","Corporation",113147.1,"08/04/2021"
26861,3721958607,"JENRAM BAKERY CORP","521 Faile St","Bronx","NY","10474-6909","12/16/2021","Paid in Full",108080,108080,108080,"Bank of America, National Association","Y","Existing or more than 2 years old",14,311812,"Y","Subchapter S Corporation",108820.27,"11/26/2021"
29972,6624848502,"LAUNDROMAT & CLEANERS EXPRESS, CORP.","671 Prospect Ave","Bronx","NY","10455-2463","09/24/2021","Paid in Full",104375,104375,104375,"Itria Ventures LLC","Y","Existing or more than 2 years old",6,812310,"Y","Corporation",104827.29,"08/13/2021"
30999,6286887307,"MY WELLNESS SOLUTIONS","436 East 149 Street #Storefront","Bronx","NY","10455","07/15/2021","Paid in Full",103167,103167,103167,"WebBank","Y","Existing or more than 2 years old",12,812199,"Y","Corporation",104307.57,"06/03/2021"
31641,7427297110,"PARASHER DENTAL PC","124 East 170th Street","Bronx","NY","10452","03/17/2021","Paid in Full",102500,102500,102500,"Customers Bank","Y","Existing or more than 2 years old",7,453998,"Y","Corporation",103227.33,"01/25/2021"
31688,1722487702,"WALDORF BAKERS INC.","909 E 135th St","Bronx","NY","10454","04/22/2021","Paid in Full",102469,102469,102469,"JPMorgan Chase Bank, National Association","Y","Existing or more than 2 years old",15,311812,"Y","Corporation",103378.36,"03/24/2021"
31868,8862328003,"GRACE INTERNATIONAL MARKET","1009 Ogden Ave","Bronx","NY","10452-5104","03/19/2022","Paid in Full",102245,102245,102245,"Kabbage, Inc.","Y","Existing or more than 2 years old",7,445110,"Y","Self-Employed Individuals",103883.72,"02/14/2022"
33723,1676367808,"ALBERT MENIN INTERIORS","2417 Third Ave 510","Bronx","NY","10451-6330","03/23/2022","Paid in Full",100071,100071,100071,"Cross River Bank","Y","Existing or more than 2 years old",13,337110,"Y","Corporation",101757.13,"01/31/2022"
35141,3620118810,"FRUITS, VEGS & MEAT CORP","256 Saint Anns Ave","Bronx","NY","10454-2608","10/20/2021","Paid in Full",99042,99042,99042,"JPMorgan Chase Bank, National Association","Y","Existing or more than 2 years old",25,445110,"Y","Corporation",99465.29,"09/21/2021"
35643,2712957310,"LEE LOI INDUSTRIES INC.","234-236 Row B NYC Terminal Market","Bronx","NY","10474","05/21/2021","Paid in Full",98482,98482,98482,"Signature Bank","N","Existing or more than 2 years old",10,424480,"Y","Corporation",99412.86,"04/19/2021"
36183,2805968003,"ARETE EDUCATION, INC.","557 Grand Concourse Suite 3 #140","Bronx","NY","10451","05/18/2021","Paid in Full",97900,97900,97900,"Citibank, N.A.","Y","Existing or more than 2 years old",36,611699,"Y","Non-Profit Organization",98658.72,"04/06/2021"
36607,9580477307,"HERCULES DOOR HARDWARE CORP","886 East 149th Street","Bronx","NY","10455","06/30/2021","Paid in Full",97500,97500,97500,"TD Bank, National Association","Y","Existing or more than 2 years old",12,541512,"Y","Corporation",98428.96,"04/15/2021"
37880,6465777304,"SHREE RUSHIN RX INC","542 Southern Blvd","Bronx","NY","10455-3715","04/23/2021","Paid in Full",89660,96075,96075,"Lendistry SBLC, LLC","Y","Existing or more than 2 years old",9,446110,"Y","Corporation",96854.13,"03/05/2021"
38346,7210507710,"ACA FREIGHT FORWARDING INC","324 Bryant Ave","Bronx","NY","10474","01/21/2021","Paid in Full",95600,95600,95600,"Citibank, N.A.","Y","Existing or more than 2 years old",10,488510,"Y","Subchapter S Corporation",96192.19,"12/21/2020"
38804,2905318603,"PLATANO DEPOT LLC","546 Barretto St","Bronx","NY","10474-6720","11/09/2021","Paid in Full",95062.5,95062.5,95062.5,"Ponce Bank","N","Existing or more than 2 years old",5,311411,"Y","Limited  Liability Company(LLC)",95625.06,"10/22/2021"
39746,5491647310,"SULLIVAN CUSTOM WOOD FLOORS INC","1455 Cromwell Ave","Bronx","NY","10452","08/10/2021","Paid in Full",94135,94135,94135,"Celtic Bank Corporation","Y","Existing or more than 2 years old",6,236115,"Y","Subchapter S Corporation",95269.78,"07/15/2021"
40866,4127457703,"SONRISA CORP  DBA-SBA SMALL 7A TERM","755 E B 149th ST","Bronx","NY","10455","06/30/2021","Paid in Full",93040,93040,93040,"TD Bank, National Association","N","Existing or more than 2 years old",12,NULL,"Y","Corporation",93905.79,"04/08/2021"
41277,9669787204,"STAR PHARMA INC","115 Feather Bed LN #A","Bronx","NY","10452","04/09/2021","Paid in Full",92609,92609,92609,"Valley National Bank","Y","Existing or more than 2 years old",6,446110,"Y","Subchapter S Corporation",93434.76,"03/23/2021"
41893,3964397200,"DOMINICANOS USA INC","369 East 149th Street 11th Fl","Bronx","NY","10455","04/23/2021","Paid in Full",92000,92000,92000,"Popular Bank","Y","Existing or more than 2 years old",10,611710,"Y","Professional Association",82496.56,"12/14/2020"
42934,7549628401,"136 ALEXANDER CAFE LLC","136 Alexander Ave","Bronx","NY","10454-4570","09/20/2022","Paid in Full",90955,90955,90955,"Loan Source Incorporated","Y","Existing or more than 2 years old",26,722511,"Y","Limited  Liability Company(LLC)",92315.59,"08/18/2022"
43555,5426558100,"NYC SMALL BUSINESS SOLUTIONS, INC","557 Grand Concourse Ste 4089","Bronx","NY","10451","03/18/2022","Paid in Full",90291,90291,90291,"Kabbage, Inc.","Y","Existing or more than 2 years old",6,541990,"Y","Corporation",91488.28,"11/17/2021"
46792,1710667809,"MASA-MEXED INC","2770 Third Ave","Bronx","NY","10455","03/19/2022","Paid in Full",87465,87465,87465,"TD Bank, National Association","Y","Existing or more than 2 years old",14,611710,"Y","Corporation",88983.49,"02/11/2022"
47167,9236647104,"IFS STUDIO INC","480  Austin Place Building A","Bronx","NY","10455-5023","07/14/2021","Paid in Full",87082,87082,87082,"Celtic Bank Corporation","Y","Existing or more than 2 years old",9,337212,"Y","Subchapter S Corporation",88081.65,"06/17/2021"
47203,9122697110,"MARISCO CENTER INC.","610 Exterior St","Bronx","NY","10451","05/27/2021","Paid in Full",87039.72,87039.72,87039.72,"Hanover Community Bank","Y","Existing or more than 2 years old",25,722511,"Y","Corporation",87842.42,"04/05/2021"
48683,3977188910,"WIPE-TEX INTERNATIONAL CORP","110 E 153rd St","Bronx","NY","10451-5230","12/18/2021","Paid in Full",85790,85790,85790,"JPMorgan Chase Bank, National Association","Y","Existing or more than 2 years old",17,313210,"N","Partnership",86212.71,"10/29/2021"
50774,5710877310,"E & M FOOD MARKET CORP","760 Melrose Avenue","Bronx","NY","10451","01/22/2021","Paid in Full",84015,84015,84015,"TD Bank, National Association","Y","Existing or more than 2 years old",19,445110,"Y","Corporation",84554.1,"12/21/2020"
50829,9601707108,"MARTINEZ INSURANCE AGENCY, INC.","251 E 138th street","Bronx","NY","10451","07/14/2021","Paid in Full",83972,83972,83972,"WebBank","Y","Existing or more than 2 years old",13,524210,"Y","Corporation",84965.67,"06/17/2021"
51880,3667097110,"INNOVATIVE PROPERTY MANAGEMENT & DEVELOPMENT, INC.","798 Westchester Ave","Bronx","NY","10455","03/23/2021","Paid in Full",83214,83214,83214,"Hanover Community Bank","Y","Existing or more than 2 years old",8,561110,"Y","Corporation",83909.76,"02/24/2021"
51924,7984557304,"IMPERIEX CONSTRUCTION INC.","1185 Randall Ave.","Bronx","NY","10474","04/17/2021","Paid in Full",83183,83183,83183,"Santander Bank, National Association","Y","Existing or more than 2 years old",8,238910,"Y","Corporation",83921.39,"03/25/2021"
52288,2615467303,"DARRYL LIEBERMAN DDS AND ASSOCIATES PC","790 Concoure Village west","Bronx","NY","10451","03/18/2022","Paid in Full",82852,82852,82852,"Customers Bank","N","Existing or more than 2 years old",9,621210,"N","Corporation",84136.77,"11/17/2021"
53200,4683827207,"EMPORIUM SUPERMARKET CORP.","148 E 170th Street","Bronx","NY","10452","05/13/2021","Paid in Full",82112.42,82112,82112,"Mid Penn Bank","Y","Existing or more than 2 years old",27,445110,"Y","Corporation",82894.88,"04/15/2021"
53902,1317498610,"KEILA RAPHAEL","1133 Ogden Ave Apt 1L","Bronx","NY","10452-4306","11/19/2021","Paid in Full",81500,81500,81500,"Citibank, N.A.","Y","Existing or more than 2 years old",11,541618,"Y","Sole Proprietorship",81998.06,"10/27/2021"
54357,1943527302,"FLYOUNGLLC","242 east 137th street 3rd floor","Bronx","NY","10451","03/18/2022","Paid in Full",81182,81182,81182,"Customers Bank","Y","Existing or more than 2 years old",10,999990,"Y","Limited  Liability Company(LLC)",82425.31,"11/16/2021"
55236,9868697204,"KATSURA CONSTRUCTION INC","761 Bruckner Blvd.","Bronx","NY","10455","04/22/2021","Paid in Full",80500,80500,80500,"TD Bank, National Association","Y","Existing or more than 2 years old",7,236220,"Y","Corporation",81217.79,"03/17/2021"
56588,8359677206,"SMART ROOFS, LLC","1360 Garrison Avenue","Bronx","NY","10474","10/08/2021","Paid in Full",79558.65,79558.65,79558.65,"Modern Bank, National Association","Y","Existing or more than 2 years old",34,238160,"Y","Limited  Liability Company(LLC)",80621.64,"09/02/2021"
57407,5713287305,"SACRED HEART CHURCH","1253 Shakespeare Avenue","Bronx","NY","10452","02/18/2022","Paid in Full",78900,78900,78900,"Loan Source Incorporated","Y","Existing or more than 2 years old",7,813110,"Y","Corporation",79686.84,"05/10/2021"
58806,7068417705,"CLASSIC SOFA OF NY, LTD.","728 East 136th Street","Bronx","NY","10454","01/21/2021","Paid in Full",77800,77800,77800,"Citibank, N.A.","Y","Existing or more than 2 years old",10,811420,"Y","Corporation",68204.92,"12/10/2020"
63407,3547217202,"FITZ & PAL FOOD CENTER, LLC","Unit 31B NYC Hunts Point Terminal Market","Bronx","NY","10474","02/25/2021","Paid in Full",74639,74639,74639,"Signature Bank","N","Existing or more than 2 years old",5,424480,"Y","Partnership",75156.36,"01/19/2021"
65599,7719047205,"EAST COAST ENVIRONMENTAL SERVICES OF NY, INC.","340 Jackson Avenue","Bronx","NY","10454","09/25/2021","Paid in Full",73000,73000,73000,"Signature Bank","Y","Existing or more than 2 years old",7,213112,"Y","Corporation",73938,"08/19/2021"
69717,9476557209,"SAFEWAY PHARMACY, INC","493 East 138th Street","Bronx","NY","10454","01/19/2022","Paid in Full",70060,70060,70060,"Spencer Savings Bank, SLA","Y","Existing or more than 2 years old",8,446110,"Y","Corporation",70632.16,"02/24/2021"
71036,8127857202,"JNJ NEW YORK INC","2856-70 Third Ave.","Bronx","NY","10455","07/10/2021","Paid in Full",69308.32,69308.32,69308.32,"KEB Hana Bank USA, National Association","Y","Existing or more than 2 years old",15,446120,"Y","Corporation",70103.44,"06/22/2021"
71386,9679657705,"SATELLITE PLUMBING CORPORATION","65 Bruckner Blvd","Bronx","NY","10454-4436","03/23/2021","Paid in Full",75000,69100,69100,"Newtek Small Business Finance, Inc.","Y","Existing or more than 2 years old",5,238220,"Y","Subchapter S Corporation",69591.38,"02/22/2021"
71435,5714038102,"THE INSTITUTE FOR MEDIATION AND CONFLICT RESOLUTION, INC.","369 E. 148th Street, Lower Level","Bronx","NY","10455","11/06/2021","Paid in Full",50000,69050,69050,"Fountainhead SBF LLC","Y","Existing or more than 2 years old",7,624190,"Y","Non-Profit Organization",69899.7,"10/28/2021"
72846,2969647404,"POWER MASTERS ELECTRICAL CONTRACTING INC.","385 Rider Avenue","Bronx","NY","10451","08/12/2021","Paid in Full",68087.5,68087.5,68087.5,"Orange Bank & Trust Company","Y","Existing or more than 2 years old",6,238210,"Y","Corporation",68908.33,"07/22/2021"
73226,1148837302,"DEFENDER SECURITY INC","798 Westchester Ave","Bronx","NY","10455","03/20/2021","Paid in Full",67841,67841,67841,"Hanover Community Bank","Y","Existing or more than 2 years old",11,561612,"Y","Corporation",68395.03,"02/24/2021"
73656,4498257309,"BEST PRICE RENOVATIONS LLC","408 E 154th St","Bronx","NY","10455","06/17/2021","Paid in Full",67532.5,67532.5,67532.5,"Square Capital, LLC","Y","Existing or more than 2 years old",5,238350,"Y","Limited  Liability Company(LLC)",68244.83,"05/21/2021"
73869,2196908610,"BLICKMEYER & SIEBELITZ INC","1145 Longwood Ave","Bronx","NY","10474-5712","12/21/2021","Paid in Full",67472,67472,67472,"JPMorgan Chase Bank, National Association","Y","Existing or more than 2 years old",8,811118,"Y","Corporation",67914.65,"11/15/2021"
76573,4424007301,"PSK RX INC","2702 3rd Ave","Bronx","NY","10454-1210","05/25/2021","Paid in Full",66450,65707,65707,"Lendistry SBLC, LLC","Y","Existing or more than 2 years old",7,446110,"Y","Corporation",66313.66,"04/21/2021"
77550,4616407406,"JETS PRODUCE","#263A Row B NYC Terminal MKT","Bronx","NY","10474","11/18/2021","Paid in Full",65100,65100,65100,"Citibank, N.A.","N","Existing or more than 2 years old",7,445230,"Y","Subchapter S Corporation",52549.53,"07/15/2021"
78113,4423737306,"CHOICE ONE PHARMA INC","1550 University Avenue","Bronx","NY","10452-1503","05/25/2021","Paid in Full",64895,64895,64895,"Lendistry SBLC, LLC","Y","Existing or more than 2 years old",6,446110,"Y","Corporation",65506.61,"04/21/2021"
78718,2206767309,"BRONX 170 FOODS INC","140 E 170th St","Bronx","NY","10452","08/12/2021","Paid in Full",64500,64500,64500,"Live Oak Banking Company","Y","Existing or more than 2 years old",12,722513,"Y","Subchapter S Corporation",65295.21,"07/26/2021"
79049,2578087307,"REYES PRODUCE TRANSPORT, INC.","540-544 Faile Street","Bronx","NY","10474","08/18/2021","Paid in Full",64305,64305,64305,"Signature Bank","Y","Existing or more than 2 years old",10,484220,"Y","Subchapter S Corporation",65094.28,"07/28/2021"
83585,3647407306,"WE STAY-NOS QUEDAMOS, INC.","754 Melrose Avenue","Bronx","NY","10451","02/18/2022","Paid in Full",62000,62000,62000,"Loan Source Incorporated","Y","Existing or more than 2 years old",5,713990,"Y","Corporation",62783.07,"08/17/2021"
84098,2322457307,"BRONX BROOK FOODS INC","513 E 138th St","Bronx","NY","10454","09/15/2021","Paid in Full",61700,61700,61700,"Live Oak Banking Company","Y","Existing or more than 2 years old",9,722513,"Y","Corporation",62479.28,"08/04/2021"
84550,4102628510,"119 LOLY RESTAURANT","119 E Mount Eden Ave # STR2","Bronx","NY","10452-5804","03/18/2022","Paid in Full",61425,61425,61425,"JPMorgan Chase Bank, National Association","Y","Existing or more than 2 years old",5,722511,"Y","Limited  Liability Company(LLC)",62006.9,"02/10/2022"
84591,4208777206,"NEW YORK  CITY ELECTRIC INC","435 Austin place Suite D","Bronx","NY","10455","05/18/2021","Paid in Full",61400,61400,61400,"Citibank, N.A.","Y","Existing or more than 2 years old",5,238210,"Y","Subchapter S Corporation",61995.24,"04/26/2021"
85573,5452147201,"CMC DEVELOPMENT GROUP LLC","749 E. 135th Street","Bronx","NY","10454","05/18/2021","Paid in Full",60876.87,60876.87,60876.87,"Orange Bank & Trust Company","Y","Existing or more than 2 years old",8,531210,"Y","Limited  Liability Company(LLC)",61473.8,"04/23/2021"
87478,3649128904,"THRIFTLAND USA INC.","110 E 153rd St","Bronx","NY","10451-5230","12/18/2021","Paid in Full",59987,59987,59987,"JPMorgan Chase Bank, National Association","Y","Existing or more than 2 years old",15,453310,"N","Subchapter S Corporation",60289.1,"11/02/2021"
88870,2405947405,"ANYELISA REST. CORP.","28 E 167th St","Bronx","NY","10452-8201","09/21/2021","Paid in Full",59175,59175,59175,"Ponce Bank","Y","Existing or more than 2 years old",11,722511,"Y","Corporation",59925.63,"08/18/2021"
89017,9541527709,"THE FIEDLER COMPANIES, INC.","408 E 134th St","Bronx","NY","10454-4502","07/20/2021","Paid in Full",59100,59100,59100,"Newtek Small Business Finance, Inc.","Y","Existing or more than 2 years old",5,238160,"Y","Subchapter S Corporation",59707.42,"06/11/2021"
89589,3406868800,"ESPERANZA SUPERMARKET LLC","107 Featherbed Ln","Bronx","NY","10452-1615","02/18/2022","Paid in Full",58788.2,58788.2,58788.2,"Loan Source Incorporated","Y","Existing or more than 2 years old",15,445110,"Y","Limited  Liability Company(LLC)",59179.58,"12/14/2021"
91584,1416197700,"DIVINE MOVING &AMP; STORAGE LTD","550 BARRY STREET","Bronx","NY","10474","03/03/2021","Paid in Full",57708,57707.5,57707.5,"JPMorgan Chase Bank, National Association","Y","Existing or more than 2 years old",10,484210,"Y","Corporation",58068.81,"12/18/2020"
92227,9543037207,"RAY'S PHARMACY, INC.","423 E. 138th Street","Bronx","NY","10454","01/19/2022","Paid in Full",57435,57435,57435,"Spencer Savings Bank, SLA","Y","Existing or more than 2 years old",7,446110,"Y","Corporation",57904.05,"02/24/2021"
95283,6829397702,"PVR DRUGS INC","567 courtlandt ave","Bronx","NY","10451","06/15/2021","Paid in Full",55900,55900,55900,"Citibank, N.A.","Y","Existing or more than 2 years old",8,446110,"Y","Corporation",56449.68,"04/29/2021"
97652,1100769102,"NEW V & B POWER CORP","674 Hunts Point Ave","Bronx","NY","10474-6507","01/20/2022","Paid in Full",54871.82,54871.82,54871.82,"Ponce Bank","Y","Existing or more than 2 years old",12,236118,"Y","Corporation",55143.92,"12/27/2021"
101253,6466047005,"PHARMORE RX INC.","337 East 149th Street","Bronx","NY","10451","07/15/2021","Paid in Full",53100,53100,53100,"Live Oak Banking Company","Y","Existing or more than 2 years old",7,446110,"Y","Corporation",53715.38,"06/09/2021"
101964,5434487303,"SKYWAY ROAD SERVICE CORP","629 Casanova Street","Bronx","NY","10474","10/22/2021","Paid in Full",52775,52775,52775,"TD Bank, National Association","Y","Existing or more than 2 years old",6,811111,"Y","Corporation",53491.86,"09/10/2021"
102223,4136777304,"WATER PLACE PHARMACY LLC","313 E 161ST STREET","Bronx","NY","10451","05/14/2021","Paid in Full",52616,52616,52616,"Valley National Bank","Y","Existing or more than 2 years old",8,446110,"Y","Limited  Liability Company(LLC)",53137.78,"04/30/2021"
103016,9672577201,"GERARD PHARMACY, INC.","903 Gerard Avenue","Bronx","NY","10452","01/19/2022","Paid in Full",52367.5,52367.5,52367.5,"Spencer Savings Bank, SLA","Y","Existing or more than 2 years old",7,446110,"Y","Corporation",52795.17,"02/24/2021"
103076,8316087402,"CONCOURSE PEDIATRICS P.C.","1001 Grand Concourse Apt 1E","Bronx","NY","10452","07/20/2021","Paid in Full",52340,52340,52340,"Popular Bank","Y","Existing or more than 2 years old",6,621111,"Y","Subchapter S Corporation",52886.66,"06/03/2021"
103768,9516377209,"GARDEN PHARMACY, INC","273 East 149th Street","Bronx","NY","10451","01/19/2022","Paid in Full",52025,52025,52025,"Spencer Savings Bank, SLA","Y","Existing or more than 2 years old",7,446110,"Y","Corporation",52449.87,"02/24/2021"
104946,9240217303,"FAIRFIELD REFRIGERATION AND COOLING EQUIPMENT","147 Lincoln Ave 3B","Bronx","NY","10454","03/23/2022","Paid in Full",51534,51534,51534,"Cross River Bank","Y","Existing or more than 2 years old",11,238220,"Y","Sole Proprietorship",52402.31,"01/19/2022"
105358,5440707402,"170TH ST AUTO MECHANIC SHOP INC","25 West 170 St","Bronx","NY","10452","05/22/2021","Paid in Full",51360,51360,51360,"Popular Bank","Y","Existing or more than 2 years old",10,811121,"Y","Corporation",51847.92,"04/28/2021"
106276,6323467800,"1187 T&J FOOD CORP","1187 JEROME AVENUE","Bronx","NY","10452","02/24/2021","Paid in Full",50950,50950,50950,"Popular Bank","Y","Existing or more than 2 years old",11,445110,"Y","Corporation",51258.53,"01/08/2021"
